timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2506729933,nan,nan,nan,nan,1.4546493,3.4610088,-4.4449205,1.0168673,nan,nan,nan,nan,nan,nan,nan,nan,nan
2506938004,nan,nan,nan,nan,1.7459562,3.0775173,-3.952408,1.0175873,nan,nan,nan,nan,nan,nan,nan,nan,nan
2507138631,nan,nan,nan,nan,1.7266443,2.7077403,-3.4775095,1.0170138,nan,nan,nan,nan,nan,nan,nan,nan,nan
2507340259,nan,nan,nan,nan,0.5837807,2.3361177,-3.000241,1.0171998,nan,nan,nan,nan,nan,nan,nan,nan,nan
2507539454,nan,nan,nan,-0.7538966,-0.0,1.9689782,-2.5287292,0.6436619,nan,nan,nan,nan,nan,nan,nan,nan,nan
2507747690,nan,nan,nan,-0.7538966,-0.0,1.58519,-2.0358357,0.2980417,nan,nan,nan,nan,nan,nan,nan,nan,nan
2507948327,nan,nan,nan,-0.7538966,0.0,1.2153851,-1.5609009,0.3059588,nan,nan,nan,nan,nan,nan,nan,nan,nan
2508149438,nan,nan,nan,-0.7538966,-0.0,0.84473646,-1.0848821,0.30552104,nan,nan,nan,nan,nan,nan,nan,nan,nan
2508357155,nan,nan,nan,-0.7538966,0.0,0.46188068,-0.5931862,0.31035602,nan,nan,nan,nan,nan,nan,nan,nan,nan
2508557039,nan,nan,nan,-0.7538966,0.0,0.09346923,-0.12004107,0.307715,nan,nan,nan,nan,nan,nan,nan,nan,nan
2508757924,nan,nan,nan,-0.7538966,-0.0,0.0,0.0,0.3102522,nan,nan,nan,nan,nan,nan,nan,nan,nan
2508965835,nan,nan,nan,-0.7538966,0.0,0.0,0.0,0.31023246,nan,nan,nan,nan,nan,nan,nan,nan,nan
2509166641,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31064743,nan,nan,nan,nan,nan,nan,nan,nan,nan
2509366632,96.33709,-12.395428,nan,-0.7538966,-0.0,0.0,0.0,0.3092544,nan,nan,nan,nan,nan,nan,nan,nan,nan
2509568882,96.33709,-12.395428,nan,-0.7538966,-0.0,0.0,0.0,0.3102613,nan,nan,nan,nan,nan,nan,nan,nan,nan
2509772508,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31034425,nan,nan,nan,nan,nan,nan,nan,nan,nan
2509972380,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.30806985,nan,nan,nan,nan,nan,nan,nan,nan,nan
2510173685,96.33709,-12.395428,nan,-0.7538966,-0.0,0.0,0.0,0.31008157,nan,nan,nan,nan,nan,nan,nan,nan,nan
2510373292,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.3092454,nan,nan,nan,nan,nan,nan,nan,nan,nan
2510583087,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31022966,nan,nan,nan,nan,nan,nan,nan,nan,nan
2510781875,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31136957,nan,nan,nan,nan,nan,nan,nan,nan,nan
2510982773,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31160283,nan,nan,nan,nan,nan,nan,nan,nan,nan
2511190607,96.33709,-12.395428,nan,-0.7538966,0.0,0.0,0.0,0.31025854,nan,nan,nan,nan,nan,nan,nan,nan,nan
