timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2482695193,32767,32767,32767,32767,32767,32767,32767
2482699198,32767,32767,32767,32767,-61,32767,32767
2482703199,32767,32767,32767,32767,32767,32767,32767
2482707192,32767,32767,32767,32767,-40,32767,32767
2482711193,32767,32767,32767,32767,32767,32767,32767
2482715195,32767,32767,32767,32767,32767,-81,32767
2482719198,32767,32767,32767,32767,32767,32767,32767
2482723192,32767,32767,32767,32767,32767,32767,32767
2482727193,32767,32767,32767,32767,32767,32767,32767
2482731173,32767,32767,32767,32767,-68,32767,32767
2482735200,32767,32767,32767,32767,32767,-63,32767
2482739995,32767,32767,32767,32767,-48,32767,32767
2482743995,32767,32767,32767,32767,32767,32767,32767
2482747997,32767,32767,32767,32767,32767,32767,32767
2482751995,32767,32767,32767,32767,-60,32767,32767
2482755995,32767,32767,32767,32767,32767,-50,32767
2482759996,32767,32767,32767,32767,32767,32767,32767
2482764008,32767,32767,32767,32767,32767,32767,32767
2482767996,32767,32767,32767,32767,32767,32767,32767
2482771996,32767,32767,32767,32767,32767,32767,32767
2482775996,32767,32767,-59,32767,-74,32767,32767
2482779995,32767,32767,32767,32767,32767,-68,32767
2482783996,32767,32767,32767,32767,-48,32767,32767
2482787997,32767,32767,32767,32767,32767,32767,32767
2482792008,32767,32767,32767,32767,32767,32767,32767
2482795996,32767,32767,32767,32767,-60,32767,32767
2482799996,32767,32767,32767,32767,32767,32767,32767
2482803996,32767,32767,32767,32767,32767,-68,32767
2482807996,32767,32767,32767,32767,32767,32767,32767
2482811996,32767,32767,32767,32767,32767,32767,32767
2482815996,32767,32767,32767,32767,-47,32767,32767
2482820008,32767,32767,32767,32767,32767,32767,32767
2482823996,32767,32767,32767,32767,32767,32767,32767
2482827996,32767,32767,32767,32767,-66,-90,32767
2482831996,32767,32767,32767,32767,32767,32767,32767
2482835996,32767,32767,32767,32767,32767,32767,32767
2482840003,32767,32767,32767,32767,-75,32767,32767
2482843995,32767,32767,32767,32767,32767,32767,32767
2482848008,32767,32767,32767,32767,32767,32767,32767
2482851996,32767,32767,32767,32767,32767,-88,32767
2482855996,32767,32767,32767,32767,32767,32767,32767
2482860003,32767,32767,32767,32767,-61,32767,32767
2482863996,32767,32767,32767,32767,32767,32767,32767
2482867995,32767,32767,32767,32767,32767,32767,32767
2482871997,32767,32767,32767,32767,-70,-50,32767
2482876008,32767,32767,32767,32767,32767,32767,32767
2482880002,32767,32767,32767,32767,32767,32767,32767
2482883995,32767,32767,32767,32767,-66,32767,32767
2482887996,32767,32767,32767,32767,32767,32767,32767
2482891997,32767,32767,32767,32767,32767,32767,32767
2482895996,32767,32767,32767,32767,32767,-74,32767
2482900002,32767,32767,32767,32767,32767,32767,32767
2482904008,32767,32767,32767,32767,-50,32767,32767
2482907996,32767,32767,32767,32767,32767,32767,32767
2482911995,32767,32767,32767,32767,32767,32767,32767
2482915996,32767,32767,32767,32767,-68,-50,32767
2482920002,32767,32767,32767,32767,32767,32767,32767
