timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2481544796,-0.028880786,0.033755362,0.008463634,4006,0,0.35377592,2.4260175,-10.0069275,4006
2481548790,0.054577474,-0.014874082,0.029419152,3994,0,0.6447085,-0.28949845,-9.786147,3994
2481552790,-0.09103041,-0.034853093,0.039805353,4000,0,-1.03588,1.0174901,-8.254675,4000
2481556790,0.013470277,0.04741161,0.018017042,4000,0,-0.71707565,0.065955155,-8.834585,4000
2481560789,-0.013046859,0.054304473,0.0003186261,3999,0,0.77438045,1.4479924,-10.374781,3999
2481564795,-0.004542717,0.026991801,0.008041947,4006,0,-0.58121735,0.7968225,-11.045891,4006
2481569589,0.0012408715,0.009186821,0.03797196,4794,0,0.70636004,2.012254,-9.492119,4794
2481573590,0.016807245,-0.08544976,0.038514134,4001,0,-0.76232904,-0.7447277,-8.58407,4001
2481577561,-0.026385585,0.003545434,0.007910382,3971,0,-1.3343537,0.7577502,-9.98482,3971
2481581590,0.01125321,0.0734444,-0.010753363,4029,0,0.81843483,2.0424237,-10.057228,4029
2481585590,0.025177537,0.010932493,-0.007814493,4000,0,0.029113373,0.20699236,-11.467239,4000
2481589589,-0.009928076,-0.026684307,0.019665757,3999,0,-0.38026047,2.8873477,-9.326225,3999
2481593594,0.08374256,-0.051923577,0.030007001,4005,0,-0.3682978,-1.0717702,-8.394892,4005
2481597590,-0.04210616,-0.055204425,-0.0063379654,3996,0,-0.49895427,0.8765771,-8.513783,3996
2481601602,0.015602914,0.034773067,-0.027978696,4012,0,-0.5930813,1.2371336,-10.479346,4012
2481605562,0.051478174,0.06718017,-0.03001152,3960,0,0.8597947,0.25298283,-10.997135,3960
2481609590,-0.029195666,-0.040699013,-0.011375342,4028,0,0.18564367,2.3034463,-10.089466,4028
2481613590,0.071692616,-0.057045683,0.015306485,4000,0,-1.3951157,-1.1003445,-8.880869,4000
2481617589,-0.07300359,0.0021538045,-0.019374406,3999,0,0.077414386,0.43141875,-8.309496,3999
2481621590,0.0022128804,0.033288676,-0.041790463,4001,0,-0.77800244,1.2531399,-10.22388,4001
2481625596,0.009844564,0.07887218,-0.038340993,4006,0,0.28923106,-0.25716615,-11.006101,4006
2481629590,-0.02270555,0.0021695206,-0.024463832,3994,0,0.6490754,2.252001,-10.432424,3994
2481633561,0.031921733,-0.045203928,0.010974294,3971,0,-1.1433916,-0.18735255,-9.349858,3971
2481637590,-0.05097213,0.0034469091,0.0035338686,4029,0,-0.53316915,0.6442831,-8.367401,4029
2481641590,0.025511356,-0.002951774,-0.030373681,4000,0,-0.2663073,0.30816424,-9.150822,4000
2481645596,0.008225424,0.038335852,-0.021809986,4006,0,-0.15073301,1.2283854,-10.89941,4006
2481649589,0.03314848,-2.1493113e-05,-0.0075472877,3993,0,0.65045345,0.9774977,-11.232227,3993
