rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1545224345555037977,,5818,,1545224345,547015062,'',0,2
1545224345769711424,,5819,,1545224345,746444515,'',0,2
1545224345966643763,,5820,,1545224345,948130259,'',0,2
1545224346149360575,,5821,,1545224346,144953684,'',0,2
1545224346359794045,,5822,,1545224346,346183441,'',0,2
1545224346555097432,,5823,,1545224346,549148815,'',0,2
1545224346755237559,,5824,,1545224346,747170619,'',0,2
1545224346953142337,,5825,,1545224346,947118039,'',0,2
1545224347153001159,,5826,,1545224347,148963574,'',0,2
1545224347369777407,,5827,,1545224347,349209274,'',0,2
1545224347556511762,,5828,,1545224347,547102694,'',0,2
1545224347765767608,,5829,,1545224347,751024157,'',0,2
1545224347958798197,,5830,,1545224347,946206548,'',0,2
1545224348162848682,,5831,,1545224348,146167042,'',0,2
1545224348352898032,,5832,,1545224348,347651330,'',0,2
1545224348563761086,,5833,,1545224348,547247137,'',0,2
1545224348764549134,,5834,,1545224348,748078876,'',0,2
1545224349123579054,,5835,,1545224348,946685991,'',0,2
