rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1545224272946916698,,17246,,1545224272,890947264,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224272975831857,,17247,,1545224272,938944704,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273030368521,,17248,,1545224272,978944704,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273066544934,,17249,,1545224273,42941632,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273137807793,,17250,,1545224273,86941632,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273189948406,,17251,,1545224273,130939584,'',255,"[1517, 1515, 1240, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273210190541,,17252,,1545224273,194939584,'',255,"[1517, 1515, 1240, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273270836293,,17253,,1545224273,234936256,'',255,"[1517, 1515, 1240, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273340168851,,17254,,1545224273,278936256,'',255,"[1517, 1515, 1240, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273372368957,,17255,,1545224273,344933952,'',255,"[1517, 1515, 1241, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273438025746,,17256,,1545224273,392933952,'',255,"[1517, 1515, 1253, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273463491606,,17257,,1545224273,436931392,'',255,"[1517, 1515, 1268, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273510387914,,17258,,1545224273,480931392,'',255,"[1517, 1515, 1268, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273572573118,,17259,,1545224273,544929344,'',255,"[1517, 1515, 1269, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273608531870,,17260,,1545224273,592929344,'',255,"[1517, 1515, 1269, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273680871038,,17261,,1545224273,632923456,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273722277763,,17262,,1545224273,694923456,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273780777789,,17263,,1545224273,738918592,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273809740782,,17264,,1545224273,782918592,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273867485333,,17265,,1545224273,846915776,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224273929653840,,17266,,1545224273,890915776,'',255,"[1517, 1515, 1270, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
